lead_id,attitude,language,text
7927b2df-8bba-4d29-b9a2-b6e0beafe620,disengaged,en,"The recent interaction indicated a brief visit to the website with minimal engagement. No follow-up questions or interest were expressed, suggesting a lack of commitment to the discussion."
2a272436-5132-4136-86fa-dcc88c88f482,neutral,tr,"E-posta açılmış, siteyi orta sürede ziyaret etmiş. Uzmanlık alanı ve mesleği hakkında ek bilgi talep edildi. Takip edilmesi gereken bir fırsat olabilir."
8cc8c611-a219-4f35-ad23-fdfd2656bd8a,objection,tr,"Yapılan e-posta etkileşiminde, price yapılandırmasıyla ilgili bazı sorular iletildi. Öğrencinin içerikle ilgili beklediği bilgi ve zamanlama konularında temkinli bir yaklaşımı var. Özellikle sunulan hizmetin fiyatlandırması hakkında daha fazla bilgi almak istediği anlaşıldı."
0cc2df48-7cf4-4e39-9de9-19797f9b38cc,neutral,tr,Lead ile yapılan son iletişimde ulaşım sağlanamadı. Direct traffic üzerinden siteyi orta süreyle ziyaret etti. Durum takibi için ilerleyen günlerde tekrar iletişim kurulması planlanıyor.
3256f628-e534-4826-9d63-4a8b88782852,disengaged,mix,"Son görüşmede, lead ile bir demo ayarlama konusunda konuştuk ancak ilgi belirtmedi. Fiyatlandırma bilgileri hakkında daha fazla bilgi istese de, geri dönüş yapma konusunda istekli görünmedi. Takip için bir tarih belirlemedik."
2058ef08-2858-443e-a01f-a9237db2f5ce,disengaged,en,"The interaction via Olark chat was brief and lacked engagement, with no follow-up questions or interest expressed. The lead seemed uninterested in further discussion and did not provide additional insights during the conversation."
9fae7df4-169d-489b-afe4-0f3d752542ed,positive_engagement,mix,"Lead, gönderdiğim e-postayı açtı ve birkaç soru sordu; özellikle pricing ve demo hakkında daha fazla bilgi almak istedi. Supply Chain Management konusuna olan ilgisi açıkça görülüyor. Takip için uygun bir zaman ayarlamayı planlıyorum."
20ef72a2-fb3b-45e0-924e-551c5fa59095,disengaged,tr,Son görüşmede kısa bir yanıt aldıktan sonra ek bilgi talep etmemize rağmen geri dönüş yapılmadı. İlgisinin düşük olduğu izlenimi var.
cfa0128c-a0da-4656-9d47-0aa4e67bf690,neutral,tr,"Lead, e-postayı açtı ancak site üzerinde geçirdiği süre oldukça kısa oldu. IT projeleri yönetimi ile ilgili bilgi edinmeye devam ediyor. Takip edilmeye devam edilecek."
af465dfc-7204-4130-9e05-33231863c4b5,neutral,tr,"E-posta açıldı, ancak siteyi çok kısa bir süre ziyaret etti. Bilgileri gözden geçirecekleri anlaşılıyor, takip etmekte fayda var."
